questionId,premise_class,f48_declared,arm_a,arm_a_prime
conv-26-q152,E+R-,incorrect,incorrect,incorrect
conv-26-q154,E+R-,incorrect,incorrect,incorrect
conv-26-q155,E+R-,incorrect,incorrect,incorrect
conv-26-q157,E+R-,incorrect,correct,correct
conv-26-q158,E+R-,incorrect,correct,correct
conv-26-q159,E+R-,incorrect,correct,correct
conv-26-q161,E+R-,incorrect,incorrect,incorrect
conv-26-q162,E+R-,incorrect,incorrect,incorrect
conv-26-q163,E+R-,incorrect,correct,correct
conv-26-q164,E+R-,incorrect,correct,correct
conv-26-q170,E+R-,incorrect,incorrect,incorrect
conv-26-q171,E+R-,incorrect,correct,incorrect
conv-26-q172,E+R-,incorrect,correct,correct
conv-26-q174,E+R-,incorrect,correct,correct
conv-26-q175,E+R-,incorrect,incorrect,incorrect
conv-26-q176,E+R-,incorrect,correct,correct
conv-26-q181,E+R-,incorrect,correct,correct
conv-26-q182,E+R-,incorrect,incorrect,incorrect
conv-26-q183,E+R-,incorrect,incorrect,incorrect
conv-26-q184,E+R-,incorrect,incorrect,incorrect
conv-26-q185,E+R-,incorrect,correct,correct
conv-26-q186,E+R-,incorrect,correct,correct
conv-26-q187,E+R-,incorrect,incorrect,incorrect
conv-26-q189,E+R-,incorrect,correct,correct
conv-26-q191,E+R-,incorrect,correct,incorrect
conv-26-q193,E+R-,incorrect,correct,correct
conv-26-q194,E+R-,incorrect,correct,correct
conv-26-q196,E+R-,incorrect,incorrect,incorrect
conv-26-q198,E+R-,incorrect,correct,correct
conv-30-q102,E+R-,incorrect,correct,correct
conv-30-q86,E+R-,incorrect,correct,correct
conv-30-q87,E+R-,incorrect,incorrect,incorrect
conv-30-q88,E+R-,incorrect,incorrect,incorrect
conv-30-q89,E+R-,incorrect,incorrect,incorrect
conv-30-q90,E+R-,incorrect,incorrect,incorrect
conv-30-q92,E+R-,incorrect,correct,correct
conv-30-q94,E+R-,incorrect,correct,correct
conv-30-q96,E+R-,incorrect,correct,correct
conv-41-q152,E+R-,incorrect,correct,incorrect
